S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
885	4356	3474	1	chr18_43734217	NODE_1_length_3474_cov_12.666470	99.88		True
CONTIG	NODE_1_length_3474_cov_12.666470	3474	correct
CONTIG	NODE_2_length_2145_cov_4.429884	2145	unaligned
CONTIG	NODE_3_length_1575_cov_5.996662	1575	unaligned
CONTIG	NODE_4_length_1500_cov_6.523542	1500	unaligned
CONTIG	NODE_5_length_1437_cov_4.411029	1437	unaligned
CONTIG	NODE_6_length_1301_cov_5.648693	1301	unaligned
CONTIG	NODE_7_length_1291_cov_6.569193	1291	unaligned
CONTIG	NODE_8_length_1124_cov_5.750716	1124	unaligned
1	401	653	1053	chr18_43734217	NODE_9_length_1054_cov_7.939611	99.5		True
CONTIG	NODE_9_length_1054_cov_7.939611	1054	correct_unaligned
CONTIG	NODE_10_length_1022_cov_3.821164	1022	unaligned
CONTIG	NODE_11_length_1007_cov_5.238710	1007	unaligned
CONTIG	NODE_12_length_930_cov_6.967175	930	unaligned
CONTIG	NODE_13_length_826_cov_3.536716	826	unaligned
CONTIG	NODE_14_length_769_cov_4.754335	769	unaligned
CONTIG	NODE_15_length_754_cov_4.138848	754	unaligned
CONTIG	NODE_16_length_747_cov_3.907463	747	unaligned
CONTIG	NODE_17_length_742_cov_3.848120	742	unaligned
CONTIG	NODE_18_length_741_cov_8.621988	741	unaligned
CONTIG	NODE_19_length_739_cov_6.830816	739	unaligned
CONTIG	NODE_20_length_724_cov_3.057187	724	unaligned
CONTIG	NODE_21_length_723_cov_5.756966	723	unaligned
CONTIG	NODE_22_length_705_cov_4.695860	705	unaligned
CONTIG	NODE_23_length_704_cov_4.295056	704	unaligned
CONTIG	NODE_24_length_693_cov_4.139610	693	unaligned
CONTIG	NODE_25_length_682_cov_7.790083	682	unaligned
CONTIG	NODE_26_length_667_cov_3.986441	667	unaligned
CONTIG	NODE_27_length_666_cov_8.825127	666	unaligned
CONTIG	NODE_28_length_654_cov_4.939341	654	unaligned
CONTIG	NODE_29_length_650_cov_8.802792	650	unaligned
CONTIG	NODE_30_length_650_cov_3.120419	650	unaligned
CONTIG	NODE_31_length_633_cov_2.767986	633	unaligned
CONTIG	NODE_32_length_628_cov_2.355717	628	unaligned
CONTIG	NODE_33_length_612_cov_6.205607	612	unaligned
CONTIG	NODE_34_length_596_cov_2.456647	596	unaligned
CONTIG	NODE_35_length_595_cov_6.507722	595	unaligned
CONTIG	NODE_36_length_587_cov_4.247059	587	unaligned
CONTIG	NODE_37_length_577_cov_3.726000	577	unaligned
CONTIG	NODE_38_length_577_cov_3.556000	577	unaligned
CONTIG	NODE_39_length_570_cov_3.448276	570	unaligned
CONTIG	NODE_40_length_569_cov_4.951220	569	unaligned
CONTIG	NODE_41_length_553_cov_4.556723	553	unaligned
CONTIG	NODE_42_length_551_cov_2.753165	551	unaligned
CONTIG	NODE_43_length_542_cov_5.763441	542	unaligned
CONTIG	NODE_44_length_532_cov_4.567033	532	unaligned
CONTIG	NODE_45_length_532_cov_3.096703	532	unaligned
CONTIG	NODE_46_length_526_cov_4.808463	526	unaligned
CONTIG	NODE_47_length_519_cov_4.794118	519	unaligned
CONTIG	NODE_48_length_509_cov_4.678241	509	unaligned
